old_goodfire_label,paper_row_count,paper_sources,paper_tasks,paper_conditions,candidate_rank,candidate_feature_index,candidate_neuronpedia_label,candidate_cosine_similarity,candidate_confidence_bucket,candidate_explanation_model,candidate_explanation_type,candidate_neuronpedia_api_url,match_status,search_query,search_endpoint,search_error
Careful explanation or instruction giving,229,ultimatum,ultimatum_response,steering,1,42452,instructions or explanations,0.6381468513283088,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/42452,approximate_neuronpedia_explanation_search,Careful explanation or instruction giving,https://www.neuronpedia.org/api/explanation/search,
Careful explanation or instruction giving,229,ultimatum,ultimatum_response,steering,2,21239,detailed information or explanation,0.6331889166317735,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/21239,approximate_neuronpedia_explanation_search,Careful explanation or instruction giving,https://www.neuronpedia.org/api/explanation/search,
Careful explanation or instruction giving,229,ultimatum,ultimatum_response,steering,3,14549,detailed explanation or purpose,0.6149450619638036,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/14549,approximate_neuronpedia_explanation_search,Careful explanation or instruction giving,https://www.neuronpedia.org/api/explanation/search,
Careful explanation or instruction giving,229,ultimatum,ultimatum_response,steering,4,15925,giving advice or instructions,0.6114939310293703,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/15925,approximate_neuronpedia_explanation_search,Careful explanation or instruction giving,https://www.neuronpedia.org/api/explanation/search,
Careful explanation or instruction giving,229,ultimatum,ultimatum_response,steering,5,15751,providing instructions or information,0.6052395777853171,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/15751,approximate_neuronpedia_explanation_search,Careful explanation or instruction giving,https://www.neuronpedia.org/api/explanation/search,
Character decision-making and multi-step action sequences in narratives,230,product_innovation_folder;ultimatum,detailed_ways_to_use_a_brick;improve_the_stapler_with_many_specific_enhancements;ultimatum_response,baseline;high_temperature;prompting;steering,1,43445,thought and action sequences,0.657589529494725,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/43445,approximate_neuronpedia_explanation_search,Character decision-making and multi-step action sequences in narratives,https://www.neuronpedia.org/api/explanation/search,
Character decision-making and multi-step action sequences in narratives,230,product_innovation_folder;ultimatum,detailed_ways_to_use_a_brick;improve_the_stapler_with_many_specific_enhancements;ultimatum_response,baseline;high_temperature;prompting;steering,2,39027,character actions and capabilities,0.6178920631921758,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/39027,approximate_neuronpedia_explanation_search,Character decision-making and multi-step action sequences in narratives,https://www.neuronpedia.org/api/explanation/search,
Character decision-making and multi-step action sequences in narratives,230,product_innovation_folder;ultimatum,detailed_ways_to_use_a_brick;improve_the_stapler_with_many_specific_enhancements;ultimatum_response,baseline;high_temperature;prompting;steering,3,1679,roleplay and branching narratives,0.5854769409070636,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/1679,approximate_neuronpedia_explanation_search,Character decision-making and multi-step action sequences in narratives,https://www.neuronpedia.org/api/explanation/search,
Character decision-making and multi-step action sequences in narratives,230,product_innovation_folder;ultimatum,detailed_ways_to_use_a_brick;improve_the_stapler_with_many_specific_enhancements;ultimatum_response,baseline;high_temperature;prompting;steering,4,25622,narratives and actions,0.5781730961202786,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/25622,approximate_neuronpedia_explanation_search,Character decision-making and multi-step action sequences in narratives,https://www.neuronpedia.org/api/explanation/search,
Character decision-making and multi-step action sequences in narratives,230,product_innovation_folder;ultimatum,detailed_ways_to_use_a_brick;improve_the_stapler_with_many_specific_enhancements;ultimatum_response,baseline;high_temperature;prompting;steering,5,13765,sequences of actions,0.5669640251641178,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/13765,approximate_neuronpedia_explanation_search,Character decision-making and multi-step action sequences in narratives,https://www.neuronpedia.org/api/explanation/search,
Chemical compound name subcomponents and IUPAC nomenclature patterns,1,product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,1,30342,chemical nomenclature patterns,0.7446899973730662,high_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/30342,approximate_neuronpedia_explanation_search,Chemical compound name subcomponents and IUPAC nomenclature patterns,https://www.neuronpedia.org/api/explanation/search,
Chemical compound name subcomponents and IUPAC nomenclature patterns,1,product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,2,34145,chemical naming components,0.7313146165075075,high_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/34145,approximate_neuronpedia_explanation_search,Chemical compound name subcomponents and IUPAC nomenclature patterns,https://www.neuronpedia.org/api/explanation/search,
Chemical compound name subcomponents and IUPAC nomenclature patterns,1,product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,3,52998,compound chemical names,0.6974392003172041,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/52998,approximate_neuronpedia_explanation_search,Chemical compound name subcomponents and IUPAC nomenclature patterns,https://www.neuronpedia.org/api/explanation/search,
Chemical compound name subcomponents and IUPAC nomenclature patterns,1,product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,4,8554,chemical nomenclature components,0.6968262698902618,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/8554,approximate_neuronpedia_explanation_search,Chemical compound name subcomponents and IUPAC nomenclature patterns,https://www.neuronpedia.org/api/explanation/search,
Chemical compound name subcomponents and IUPAC nomenclature patterns,1,product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,5,61879,chemical compounds and nomenclature,0.6917116828186551,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/61879,approximate_neuronpedia_explanation_search,Chemical compound name subcomponents and IUPAC nomenclature patterns,https://www.neuronpedia.org/api/explanation/search,
Code syntax patterns for object creation and initialization,418,ultimatum,ultimatum_response,steering,1,50681,object creation and initialization,0.6786937561041319,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/50681,approximate_neuronpedia_explanation_search,Code syntax patterns for object creation and initialization,https://www.neuronpedia.org/api/explanation/search,
Code syntax patterns for object creation and initialization,418,ultimatum,ultimatum_response,steering,2,25034,instance/object creation,0.6349261089769989,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/25034,approximate_neuronpedia_explanation_search,Code syntax patterns for object creation and initialization,https://www.neuronpedia.org/api/explanation/search,
Code syntax patterns for object creation and initialization,418,ultimatum,ultimatum_response,steering,3,58560,class / object initialization,0.6258065927316275,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/58560,approximate_neuronpedia_explanation_search,Code syntax patterns for object creation and initialization,https://www.neuronpedia.org/api/explanation/search,
Code syntax patterns for object creation and initialization,418,ultimatum,ultimatum_response,steering,4,52798,creation of objects,0.6157570621064636,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/52798,approximate_neuronpedia_explanation_search,Code syntax patterns for object creation and initialization,https://www.neuronpedia.org/api/explanation/search,
Code syntax patterns for object creation and initialization,418,ultimatum,ultimatum_response,steering,5,52826,object properties and initialization,0.6146172790084301,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/52826,approximate_neuronpedia_explanation_search,Code syntax patterns for object creation and initialization,https://www.neuronpedia.org/api/explanation/search,
Common articles and prepositions in explanatory text,3,lottery,safe_risky_choice,steering,1,33852,common articles and prepositions,0.8098012618057358,high_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/33852,approximate_neuronpedia_explanation_search,Common articles and prepositions in explanatory text,https://www.neuronpedia.org/api/explanation/search,
Common articles and prepositions in explanatory text,3,lottery,safe_risky_choice,steering,2,53581,articles following common prepositions,0.7313704977416674,high_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/53581,approximate_neuronpedia_explanation_search,Common articles and prepositions in explanatory text,https://www.neuronpedia.org/api/explanation/search,
Common articles and prepositions in explanatory text,3,lottery,safe_risky_choice,steering,3,63539,articles and prepositions,0.7242920678956019,high_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/63539,approximate_neuronpedia_explanation_search,Common articles and prepositions in explanatory text,https://www.neuronpedia.org/api/explanation/search,
Common articles and prepositions in explanatory text,3,lottery,safe_risky_choice,steering,4,34108,articles and prepositions followed by nouns,0.7076700827038985,high_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/34108,approximate_neuronpedia_explanation_search,Common articles and prepositions in explanatory text,https://www.neuronpedia.org/api/explanation/search,
Common articles and prepositions in explanatory text,3,lottery,safe_risky_choice,steering,5,13098,articles and prepositions (foreign),0.6944354816420445,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/13098,approximate_neuronpedia_explanation_search,Common articles and prepositions in explanatory text,https://www.neuronpedia.org/api/explanation/search,
Comparative capability claims about AI systems,2,lottery,safe_risky_choice,slightly_prompting,1,33516,AI and human comparison,0.6680004025231188,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/33516,approximate_neuronpedia_explanation_search,Comparative capability claims about AI systems,https://www.neuronpedia.org/api/explanation/search,
Comparative capability claims about AI systems,2,lottery,safe_risky_choice,slightly_prompting,2,47627,identity and capabilities of AI,0.6662312292383424,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/47627,approximate_neuronpedia_explanation_search,Comparative capability claims about AI systems,https://www.neuronpedia.org/api/explanation/search,
Comparative capability claims about AI systems,2,lottery,safe_risky_choice,slightly_prompting,3,62075,AI role capabilities,0.665710078491468,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/62075,approximate_neuronpedia_explanation_search,Comparative capability claims about AI systems,https://www.neuronpedia.org/api/explanation/search,
Comparative capability claims about AI systems,2,lottery,safe_risky_choice,slightly_prompting,4,52551,AI safety limitations,0.6550380574635002,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/52551,approximate_neuronpedia_explanation_search,Comparative capability claims about AI systems,https://www.neuronpedia.org/api/explanation/search,
Comparative capability claims about AI systems,2,lottery,safe_risky_choice,slightly_prompting,5,61367,AI actions and capabilities,0.6495272203723784,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/61367,approximate_neuronpedia_explanation_search,Comparative capability claims about AI systems,https://www.neuronpedia.org/api/explanation/search,
Comparative or explanatory statements introducing factual information,26,lottery,safe_risky_choice,slightly_prompting,1,15398,factual or descriptive statements,0.6080306829696813,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/15398,approximate_neuronpedia_explanation_search,Comparative or explanatory statements introducing factual information,https://www.neuronpedia.org/api/explanation/search,
Comparative or explanatory statements introducing factual information,26,lottery,safe_risky_choice,slightly_prompting,2,3904,introduces explanation or clarification,0.6050607040810947,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/3904,approximate_neuronpedia_explanation_search,Comparative or explanatory statements introducing factual information,https://www.neuronpedia.org/api/explanation/search,
Comparative or explanatory statements introducing factual information,26,lottery,safe_risky_choice,slightly_prompting,3,32207,phrases introducing statements,0.6041342766200816,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/32207,approximate_neuronpedia_explanation_search,Comparative or explanatory statements introducing factual information,https://www.neuronpedia.org/api/explanation/search,
Comparative or explanatory statements introducing factual information,26,lottery,safe_risky_choice,slightly_prompting,4,38899,introduces an explanation,0.5884630937023855,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/38899,approximate_neuronpedia_explanation_search,Comparative or explanatory statements introducing factual information,https://www.neuronpedia.org/api/explanation/search,
Comparative or explanatory statements introducing factual information,26,lottery,safe_risky_choice,slightly_prompting,5,61378,introducing explanations or examples,0.5822431520804381,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/61378,approximate_neuronpedia_explanation_search,Comparative or explanatory statements introducing factual information,https://www.neuronpedia.org/api/explanation/search,
Connecting phrases and transitions when reformulating text,606,lottery;ultimatum,safe_risky_choice;ultimatum_response,slightly_prompting;steering,1,49657,connecting phrases,0.6803086030706001,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/49657,approximate_neuronpedia_explanation_search,Connecting phrases and transitions when reformulating text,https://www.neuronpedia.org/api/explanation/search,
Connecting phrases and transitions when reformulating text,606,lottery;ultimatum,safe_risky_choice;ultimatum_response,slightly_prompting;steering,2,41208,connecting phrases and words,0.6799291596578068,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/41208,approximate_neuronpedia_explanation_search,Connecting phrases and transitions when reformulating text,https://www.neuronpedia.org/api/explanation/search,
Connecting phrases and transitions when reformulating text,606,lottery;ultimatum,safe_risky_choice;ultimatum_response,slightly_prompting;steering,3,36710,transition words and phrases,0.6340174525466795,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/36710,approximate_neuronpedia_explanation_search,Connecting phrases and transitions when reformulating text,https://www.neuronpedia.org/api/explanation/search,
Connecting phrases and transitions when reformulating text,606,lottery;ultimatum,safe_risky_choice;ultimatum_response,slightly_prompting;steering,4,38875,linking words and phrases,0.6062038518897537,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/38875,approximate_neuronpedia_explanation_search,Connecting phrases and transitions when reformulating text,https://www.neuronpedia.org/api/explanation/search,
Connecting phrases and transitions when reformulating text,606,lottery;ultimatum,safe_risky_choice;ultimatum_response,slightly_prompting;steering,5,7037,words and phrases connector,0.6057262895823529,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/7037,approximate_neuronpedia_explanation_search,Connecting phrases and transitions when reformulating text,https://www.neuronpedia.org/api/explanation/search,
Connecting words in lists and feature descriptions,1,product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,1,13010,connecting related concepts in lists,0.6745634898883305,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/13010,approximate_neuronpedia_explanation_search,Connecting words in lists and feature descriptions,https://www.neuronpedia.org/api/explanation/search,
Connecting words in lists and feature descriptions,1,product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,2,49884,words followed by descriptions,0.6707613929523184,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/49884,approximate_neuronpedia_explanation_search,Connecting words in lists and feature descriptions,https://www.neuronpedia.org/api/explanation/search,
Connecting words in lists and feature descriptions,1,product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,3,45151,descriptive adjectives in lists,0.6037579271319717,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/45151,approximate_neuronpedia_explanation_search,Connecting words in lists and feature descriptions,https://www.neuronpedia.org/api/explanation/search,
Connecting words in lists and feature descriptions,1,product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,4,61149,conjunctions and lists,0.5901906713864711,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/61149,approximate_neuronpedia_explanation_search,Connecting words in lists and feature descriptions,https://www.neuronpedia.org/api/explanation/search,
Connecting words in lists and feature descriptions,1,product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,5,10145,conjunctions and lists,0.590099140027983,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/10145,approximate_neuronpedia_explanation_search,Connecting words in lists and feature descriptions,https://www.neuronpedia.org/api/explanation/search,
Constructing explanatory statements with qualifiers and nuance,1,ultimatum,ultimatum_response,prompting,1,2769,acknowledging limitations and complexities via conjunctions,0.608315488083818,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/2769,approximate_neuronpedia_explanation_search,Constructing explanatory statements with qualifiers and nuance,https://www.neuronpedia.org/api/explanation/search,
Constructing explanatory statements with qualifiers and nuance,1,ultimatum,ultimatum_response,prompting,2,11246,"additionally, introducing qualifiers",0.5917190657621304,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/11246,approximate_neuronpedia_explanation_search,Constructing explanatory statements with qualifiers and nuance,https://www.neuronpedia.org/api/explanation/search,
Constructing explanatory statements with qualifiers and nuance,1,ultimatum,ultimatum_response,prompting,3,19175,contrasting or qualifying clauses,0.5835246473112293,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/19175,approximate_neuronpedia_explanation_search,Constructing explanatory statements with qualifiers and nuance,https://www.neuronpedia.org/api/explanation/search,
Constructing explanatory statements with qualifiers and nuance,1,ultimatum,ultimatum_response,prompting,4,18674,"clause connectors and hedging/modal constructions characteristic of formal, expository descriptions.",0.5607383337477496,low_semantic_similarity,gpt-5,oai_token-act-pair,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/18674,approximate_neuronpedia_explanation_search,Constructing explanatory statements with qualifiers and nuance,https://www.neuronpedia.org/api/explanation/search,
Constructing explanatory statements with qualifiers and nuance,1,ultimatum,ultimatum_response,prompting,5,33447,uncertainty and consequence phrases,0.5547952625024529,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/33447,approximate_neuronpedia_explanation_search,Constructing explanatory statements with qualifiers and nuance,https://www.neuronpedia.org/api/explanation/search,
Coordinating conjunctions connecting related concepts in formal writing,674,ultimatum,ultimatum_response,steering,1,23525,conjunctions and subsequent phrases,0.6804496394587815,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/23525,approximate_neuronpedia_explanation_search,Coordinating conjunctions connecting related concepts in formal writing,https://www.neuronpedia.org/api/explanation/search,
Coordinating conjunctions connecting related concepts in formal writing,674,ultimatum,ultimatum_response,steering,2,10162,conjunctions introducing clauses,0.6670435542205365,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/10162,approximate_neuronpedia_explanation_search,Coordinating conjunctions connecting related concepts in formal writing,https://www.neuronpedia.org/api/explanation/search,
Coordinating conjunctions connecting related concepts in formal writing,674,ultimatum,ultimatum_response,steering,3,59668,conjunction introducing concepts or actions,0.6623388157789605,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/59668,approximate_neuronpedia_explanation_search,Coordinating conjunctions connecting related concepts in formal writing,https://www.neuronpedia.org/api/explanation/search,
Coordinating conjunctions connecting related concepts in formal writing,674,ultimatum,ultimatum_response,steering,4,49514,conjunctions connecting clauses,0.6599959317211599,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/49514,approximate_neuronpedia_explanation_search,Coordinating conjunctions connecting related concepts in formal writing,https://www.neuronpedia.org/api/explanation/search,
Coordinating conjunctions connecting related concepts in formal writing,674,ultimatum,ultimatum_response,steering,5,52404,conjunctions connecting clauses,0.6599474045350586,medium_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/52404,approximate_neuronpedia_explanation_search,Coordinating conjunctions connecting related concepts in formal writing,https://www.neuronpedia.org/api/explanation/search,
Copular constructions in explanatory text,13,lottery,safe_risky_choice,slightly_prompting,1,896,"""typically"" introducing explanations",0.5997049371638696,low_semantic_similarity,gemini-2.5-flash-lite,np_acts-logits-general,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/896,approximate_neuronpedia_explanation_search,Copular constructions in explanatory text,https://www.neuronpedia.org/api/explanation/search,
