dataset_kind,task,condition,reward,rank_scope,rank,feature_index,feature_label,mean_activation,n_response_units,source_output,neuronpedia_model,neuronpedia_source,label_source,neuronpedia_api_url
creativity,detailed_ways_to_use_a_brick,high_steering,,condition,6,46665,outdoor spaces and items,161.3,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/46665
creativity,detailed_ways_to_use_a_brick,high_steering,,condition,7,45632,favorite type of lamp,142.475,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/45632
creativity,detailed_ways_to_use_a_brick,high_steering,,condition,8,53105,landscaping and gardening,124.725,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/53105
creativity,detailed_ways_to_use_a_brick,high_steering,,condition,9,35034,best deals and different models,114.3,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/35034
creativity,detailed_ways_to_use_a_brick,high_steering,,condition,10,11847,repurposing old items,111.275,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/11847
creativity,detailed_ways_to_use_a_brick,high_temperature,,condition,1,23007,a pathway or BBQ,246.15,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/23007
creativity,detailed_ways_to_use_a_brick,high_temperature,,condition,2,20210,stone and earth construction,200.05,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/20210
creativity,detailed_ways_to_use_a_brick,high_temperature,,condition,3,59162,bricks and building,189.725,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/59162
creativity,detailed_ways_to_use_a_brick,high_temperature,,condition,4,25058,"researching Amazon, deploying AWS",179.475,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/25058
creativity,detailed_ways_to_use_a_brick,high_temperature,,condition,5,62454,"kidney stones, rock",176.075,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/62454
creativity,detailed_ways_to_use_a_brick,high_temperature,,condition,6,46665,outdoor spaces and items,128.325,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/46665
creativity,detailed_ways_to_use_a_brick,high_temperature,,condition,7,16770,"create, support, or delay",124.925,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/16770
creativity,detailed_ways_to_use_a_brick,high_temperature,,condition,8,33057,stable surface,120.2,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/33057
creativity,detailed_ways_to_use_a_brick,high_temperature,,condition,9,45632,favorite type of lamp,119.55,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/45632
creativity,detailed_ways_to_use_a_brick,high_temperature,,condition,10,26627,center of gravity,109.05,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/26627
creativity,detailed_ways_to_use_a_brick,prompting,,condition,1,23007,a pathway or BBQ,269.35,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/23007
creativity,detailed_ways_to_use_a_brick,prompting,,condition,2,25058,"researching Amazon, deploying AWS",191.35,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/25058
creativity,detailed_ways_to_use_a_brick,prompting,,condition,3,62454,"kidney stones, rock",180.675,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/62454
creativity,detailed_ways_to_use_a_brick,prompting,,condition,4,20210,stone and earth construction,176.35,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/20210
creativity,detailed_ways_to_use_a_brick,prompting,,condition,5,59162,bricks and building,168.15,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/59162
creativity,detailed_ways_to_use_a_brick,prompting,,condition,6,16770,"create, support, or delay",140.75,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/16770
creativity,detailed_ways_to_use_a_brick,prompting,,condition,7,45632,favorite type of lamp,136.625,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/45632
creativity,detailed_ways_to_use_a_brick,prompting,,condition,8,26627,center of gravity,130.425,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/26627
creativity,detailed_ways_to_use_a_brick,prompting,,condition,9,6181,"improvise, make, create",121.45,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/6181
creativity,detailed_ways_to_use_a_brick,prompting,,condition,10,35034,best deals and different models,116.95,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/35034
creativity,improve_the_stapler_with_many_specific_enhancements,baseline,,condition,1,15715,but followed by descriptions of state or action,85.55,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/15715
creativity,improve_the_stapler_with_many_specific_enhancements,baseline,,condition,2,40325,pens,82.15,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/40325
creativity,improve_the_stapler_with_many_specific_enhancements,baseline,,condition,3,36804,ergonomic handle or grip,77.9,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/36804
creativity,improve_the_stapler_with_many_specific_enhancements,baseline,,condition,4,35034,best deals and different models,77.625,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/35034
creativity,improve_the_stapler_with_many_specific_enhancements,baseline,,condition,5,25058,"researching Amazon, deploying AWS",73.85,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/25058
creativity,improve_the_stapler_with_many_specific_enhancements,baseline,,condition,6,7295,Milwaukee tool cutting,73.55,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/7295
creativity,improve_the_stapler_with_many_specific_enhancements,baseline,,condition,7,54443,"separate chambers, adjustable legs, mechanism",70.7,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/54443
creativity,improve_the_stapler_with_many_specific_enhancements,baseline,,condition,8,27847,mechanics and springs,70.5,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/27847
creativity,improve_the_stapler_with_many_specific_enhancements,baseline,,condition,9,23061,hardware and fasteners,70.05,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/23061
creativity,improve_the_stapler_with_many_specific_enhancements,baseline,,condition,10,56212,lighting range ergonomic features,68.9,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/56212
creativity,improve_the_stapler_with_many_specific_enhancements,high_steering,,condition,1,40325,pens,100.65,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/40325
creativity,improve_the_stapler_with_many_specific_enhancements,high_steering,,condition,2,27847,mechanics and springs,93.675,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/27847
creativity,improve_the_stapler_with_many_specific_enhancements,high_steering,,condition,3,25058,"researching Amazon, deploying AWS",91.575,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/25058
creativity,improve_the_stapler_with_many_specific_enhancements,high_steering,,condition,4,54443,"separate chambers, adjustable legs, mechanism",91.55,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/54443
creativity,improve_the_stapler_with_many_specific_enhancements,high_steering,,condition,5,23061,hardware and fasteners,84.975,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/23061
creativity,improve_the_stapler_with_many_specific_enhancements,high_steering,,condition,6,36804,ergonomic handle or grip,84.1,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/36804
creativity,improve_the_stapler_with_many_specific_enhancements,high_steering,,condition,7,35034,best deals and different models,82.25,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/35034
creativity,improve_the_stapler_with_many_specific_enhancements,high_steering,,condition,8,42868,printers and ducks,80.95,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/42868
creativity,improve_the_stapler_with_many_specific_enhancements,high_steering,,condition,9,7295,Milwaukee tool cutting,77.45,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/7295
creativity,improve_the_stapler_with_many_specific_enhancements,high_steering,,condition,10,4544,adjustable legs for storage,74.175,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/4544
creativity,improve_the_stapler_with_many_specific_enhancements,high_temperature,,condition,1,40325,pens,93.225,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/40325
creativity,improve_the_stapler_with_many_specific_enhancements,high_temperature,,condition,2,15715,but followed by descriptions of state or action,89.85,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/15715
creativity,improve_the_stapler_with_many_specific_enhancements,high_temperature,,condition,3,35034,best deals and different models,81.8,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/35034
creativity,improve_the_stapler_with_many_specific_enhancements,high_temperature,,condition,4,36804,ergonomic handle or grip,81.175,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/36804
creativity,improve_the_stapler_with_many_specific_enhancements,high_temperature,,condition,5,25058,"researching Amazon, deploying AWS",80.5,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/25058
creativity,improve_the_stapler_with_many_specific_enhancements,high_temperature,,condition,6,23061,hardware and fasteners,78.7,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/23061
creativity,improve_the_stapler_with_many_specific_enhancements,high_temperature,,condition,7,7295,Milwaukee tool cutting,78.425,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/7295
creativity,improve_the_stapler_with_many_specific_enhancements,high_temperature,,condition,8,27847,mechanics and springs,76.275,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/27847
creativity,improve_the_stapler_with_many_specific_enhancements,high_temperature,,condition,9,54443,"separate chambers, adjustable legs, mechanism",75.2,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/54443
creativity,improve_the_stapler_with_many_specific_enhancements,high_temperature,,condition,10,42868,printers and ducks,71.7,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/42868
creativity,improve_the_stapler_with_many_specific_enhancements,prompting,,condition,1,15715,but followed by descriptions of state or action,92.775,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/15715
creativity,improve_the_stapler_with_many_specific_enhancements,prompting,,condition,2,40325,pens,89.9,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/40325
creativity,improve_the_stapler_with_many_specific_enhancements,prompting,,condition,3,35034,best deals and different models,88.9,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/35034
creativity,improve_the_stapler_with_many_specific_enhancements,prompting,,condition,4,36804,ergonomic handle or grip,84.95,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/36804
creativity,improve_the_stapler_with_many_specific_enhancements,prompting,,condition,5,54443,"separate chambers, adjustable legs, mechanism",81.175,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/54443
creativity,improve_the_stapler_with_many_specific_enhancements,prompting,,condition,6,25058,"researching Amazon, deploying AWS",79.875,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/25058
creativity,improve_the_stapler_with_many_specific_enhancements,prompting,,condition,7,7295,Milwaukee tool cutting,79.25,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/7295
creativity,improve_the_stapler_with_many_specific_enhancements,prompting,,condition,8,23061,hardware and fasteners,78.05,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/23061
creativity,improve_the_stapler_with_many_specific_enhancements,prompting,,condition,9,4544,adjustable legs for storage,77.6,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/4544
creativity,improve_the_stapler_with_many_specific_enhancements,prompting,,condition,10,42868,printers and ducks,69.925,40,data/processed/creativity/open_sae_response_only_frequency,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/42868
safe_risky,safe_risky_choice,baseline,,condition,1,13951,sum of products for game outcomes,5.132276785714286,1400,data/processed/games/safe_risky/open_sae_calibration,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/13951
safe_risky,safe_risky_choice,baseline,,condition,2,4162,risk or possibility,4.362866908482143,1400,data/processed/games/safe_risky/open_sae_calibration,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/4162
safe_risky,safe_risky_choice,baseline,,condition,3,5107,result in outcomes,4.339933035714286,1400,data/processed/games/safe_risky/open_sae_calibration,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/5107
safe_risky,safe_risky_choice,baseline,,condition,4,11007,"gar, gu, guarantee, assure",3.9854017857142856,1400,data/processed/games/safe_risky/open_sae_calibration,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/11007
safe_risky,safe_risky_choice,baseline,,condition,5,26699,making a choice,3.80078125,1400,data/processed/games/safe_risky/open_sae_calibration,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/26699
safe_risky,safe_risky_choice,baseline,,condition,6,47380,user's choice or preference,3.7710825892857143,1400,data/processed/games/safe_risky/open_sae_calibration,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/47380
safe_risky,safe_risky_choice,baseline,,condition,7,48258,roles and fields,3.4994391741071427,1400,data/processed/games/safe_risky/open_sae_calibration,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/48258
safe_risky,safe_risky_choice,baseline,,condition,8,56793,guaranteed or guarantee,3.293861607142857,1400,data/processed/games/safe_risky/open_sae_calibration,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/56793
safe_risky,safe_risky_choice,baseline,,condition,9,20504,safe contexts,3.2626450892857144,1400,data/processed/games/safe_risky/open_sae_calibration,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/20504
safe_risky,safe_risky_choice,baseline,,condition,10,28895,explanation or reason,3.1139397321428572,1400,data/processed/games/safe_risky/open_sae_calibration,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/28895
safe_risky,safe_risky_choice,baseline,10,condition_reward,1,5107,result in outcomes,6.7359375,40,data/processed/games/safe_risky/open_sae_calibration,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/5107
safe_risky,safe_risky_choice,baseline,10,condition_reward,2,35492,probability and percentages,5.6375,40,data/processed/games/safe_risky/open_sae_calibration,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/35492
safe_risky,safe_risky_choice,baseline,10,condition_reward,3,4162,risk or possibility,5.36875,40,data/processed/games/safe_risky/open_sae_calibration,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/4162
safe_risky,safe_risky_choice,baseline,10,condition_reward,4,13951,sum of products for game outcomes,4.99375,40,data/processed/games/safe_risky/open_sae_calibration,llama3.3-70b-it,50-resid-post-gf,cached_neuronpedia,https://www.neuronpedia.org/api/feature/llama3.3-70b-it/50-resid-post-gf/13951
